Bankrupt;x1;x2;x3;x4
1;0.672775292;0.903224771;0.370594257;0.792423739
1;0.751110917;0.931065218;0.464290937;0.828823654
1;0.829501915;0.909903362;0.426071272;0.792484204
1;0.72575418;0.906902159;0.399844001;0.848535236
1;0.751822452;0.913850197;0.465022181;0.893490945
1;0.686728646;0.903041267;0.388680349;0.819572513
0;0.729416462;0.911441408;0.390922829;0.783898177
0;0.797005214;0.935449309;0.508360552;0.891797926
0;0.813737523;0.935200209;0.488519475;0.941409439
0;0.825695871;0.938289897;0.495685663;0.878707259
0;0.751204343;0.942828956;0.482474528;0.896423497
0;0.769113889;0.932955215;0.444401111;0.905614173
0;0.760000222;0.930139635;0.491151952;0.855337546
0;0.791909627;0.930763203;0.474040852;0.89343048
0;0.802390919;0.940251658;0.506703066;0.910360674
0;0.791990661;0.93354091;0.513820504;0.900928137
0;0.752032218;0.942018219;0.488909472;0.938718747
0;0.816363502;0.948858907;0.53595281;0.921274602
0;0.766580251;0.935009282;0.504070589;0.858663119
0;0.809073201;0.933563971;0.487398235;0.922514134
0;0.789153248;0.93976514;0.485253254;0.903649061
0;0.847345862;0.937920805;0.504558085;0.899265351
0;0.764144883;0.936223802;0.51201677;0.853493364
0;0.734030367;0.938561233;0.49485692;0.806965565
0;0.745811316;0.933883562;0.509969288;0.805484173
0;0.752991982;0.923742746;0.444986106;0.853251504
0;0.7469121;0.942045501;0.519280456;0.907942075
0;0.839002275;0.943096297;0.54740896;0.96390241
0;0.819444466;0.937685848;0.500853118;0.910421139
1;0.703730256;0.908947698;0.416126359;0.780391208
1;0.673325141;0.868460717;0.462194706;0.771109835
0;0.697045111;0.908330179;0.476088334;0.791758624
0;0.785427201;0.93747354;0.505874324;0.883151435
0;0.799890751;0.937101764;0.486374494;0.93766061
0;0.826180808;0.934730337;0.494369424;0.875895637
0;0.753131107;0.938233789;0.475162092;0.877377029
0;0.752031074;0.927407109;0.462925949;0.860718929
0;0.784658594;0.930539498;0.478915809;0.852798017
0;0.821157204;0.932102119;0.481060791;0.904616501
0;0.80096655;0.934363318;0.486228246;0.91991414
0;0.773200226;0.932853038;0.507824307;0.881125858
0;0.746585922;0.942100288;0.48915322;0.93097923
0;0.801107925;0.945429866;0.511188027;0.91335369
0;0.751569315;0.938496381;0.523034173;0.862018926
0;0.79592654;0.935180058;0.508848048;0.908849049
0;0.775479414;0.94055514;0.488958222;0.905765335
0;0.855304513;0.937669899;0.502120606;0.900323488
0;0.76454758;0.937543557;0.523082923;0.85805847
0;0.736628546;0.939119704;0.493345683;0.798893491
0;0.741778104;0.932966188;0.505630576;0.815339964
0;0.732740421;0.9211574;0.469555891;0.84578408
0;0.739914837;0.941752414;0.523716667;0.908395562
0;0.820765492;0.937410454;0.521912933;0.948151283
0;0.797277117;0.936300905;0.503193097;0.906097893
1;0.715123509;0.920882488;0.453029786;0.78964235
1;0.662359963;0.91282594;0.472090869;0.764700547
1;0.692375034;0.841966378;0.066933164;0.678628654
1;0.676279736;0.915031112;0.406668942;0.778547027
0;0.72385504;0.903544494;0.48223078;0.797140007
0;0.76716291;0.936347817;0.488519475;0.858451492
0;0.820679032;0.942043664;0.476478331;0.958369864
0;0.846880272;0.928823726;0.488129479;0.877588657
0;0.755503983;0.934188186;0.469165895;0.883786317
0;0.756146613;0.931638648;0.48227953;0.847900354
0;0.756244703;0.929574206;0.464193438;0.841611996
0;0.834827305;0.933718216;0.475893336;0.899446745
0;0.790630965;0.927521695;0.473504607;0.9142002
0;0.800599525;0.932855984;0.503534344;0.886688636
0;0.758027888;0.941790765;0.478330815;0.934576896
0;0.803408187;0.940692863;0.496368157;0.859993349
0;0.781432705;0.942619685;0.544825233;0.897209541
0;0.799205296;0.939887837;0.520060449;0.917918796
0;0.775306441;0.940056133;0.488811973;0.901502555
0;0.889190131;0.942446954;0.532394092;0.9058258
0;0.75648257;0.938416026;0.525032906;0.870967742
0;0.776495597;0.939490544;0.489543216;0.803337667
0;0.731955277;0.935860147;0.512553015;0.817939958
0;0.727951678;0.932608836;0.481938283;0.843335248
0;0.767330451;0.947071789;0.540145274;0.910662998
0;0.85496143;0.937759735;0.523034173;0.959941954
0;0.809688727;0.937901496;0.505923073;0.928137376
1;0.765877741;0.920323044;0.432749963;0.814916709
0;0.751703079;0.890634803;0.480622045;0.800767905
0;0.771370284;0.935490858;0.480085799;0.861081718
0;0.836160279;0.942644715;0.474674597;0.951295462
0;0.814059608;0.929281716;0.464485936;0.852979412
0;0.75395297;0.935256306;0.489348218;0.869788675
0;0.724331437;0.932474784;0.47769707;0.840311999
0;0.773373941;0.929809936;0.463169697;0.838891072
0;0.841506676;0.931455733;0.4685809;0.887293285
0;0.792269445;0.926685637;0.476673329;0.908063005
0;0.802903455;0.937256539;0.521620436;0.895818847
0;0.761156601;0.948081249;0.50514308;0.940744324
0;0.799490482;0.941712687;0.488616975;0.87471657
0;0.790800395;0.939097145;0.512991761;0.889318862
0;0.78204296;0.94295667;0.529859114;0.906974635
0;0.773878309;0.939296757;0.474187101;0.952172204
0;0.873377522;0.942993144;0.496806903;0.908546724
0;0.768692026;0.941180331;0.52688539;0.879221211
0;0.783779498;0.941691237;0.484278263;0.804184176
